epoch,train_loss,test_acc,useful_exemplar_%,maxdisintra,disintra,interCN_catg,interCN_min,ratio
0,47.505166022815004,69.7704081632653,100.0,1.2517900005060965,0.9983695230558904,3.54073,3.342287,2.670006200918167
1,12.162997442390282,70.1530612244898,100.0,0.7319313341566406,0.5179708243898696,1.9354373,1.67089,2.2828507206426756
2,2.595827076572398,70.40816326530613,100.0,0.5008335750140445,0.3521615167718907,1.2753694,1.1220433,2.2403515019132003
3,1.6647230917246554,69.26020408163265,100.0,0.4370255113740242,0.31021433175390306,1.1184398,1.0096632,2.310307288574202
4,1.6207806382503809,69.89795918367348,100.0,0.41780407063624,0.2960979371326756,1.0865417,0.97905445,2.3433339208443966
5,1.5587594936031322,70.53571428571429,100.0,0.4025747803337287,0.2852100234537224,1.0754633,0.9635348,2.3934305363026747
6,1.5294029012400443,69.64285714285714,100.0,0.3902880003705075,0.27866531218065643,1.0817661,0.9610638,2.462447734313952
7,1.5059564404462644,69.7704081632653,100.0,0.38422321157617717,0.2741385559839104,1.1008325,0.96356124,2.5078163104868265
8,1.4791903513264282,69.26020408163265,100.0,0.37846971763522214,0.26922477875392475,1.1222073,0.96563196,2.551411425611621
9,1.4581359182976927,69.89795918367348,100.0,0.3734765567704645,0.26470875034001484,1.1474943,0.9712149,2.6004708270804313
10,1.4182180409656144,69.7704081632653,100.0,0.36348305697216415,0.25737675778684815,1.1578263,0.96222997,2.647248471862054
